ano,titulo,local
2015,Sobre o Infinito e outras coisas,"SESC 504 Sul ­- Brasília, DF"
2014,Apoteose,"Tigers Saloon ­- Brasília, DF"
2014,Hilo de la Vida,"Collage Barcelona ­- Barcelona, Espanha"
